# Description of *CricoPharyngeal_L* muscle bundle. Created on 2015.05.28_16:51:15 PDT. 

points
87, 0.153265, -0.012322, 0.010203, type=FemMarker, attach=pharynx
88, 0.151095, -0.013150, 0.011271, type=FemMarker, attach=pharynx
89, 0.150072, -0.013523, 0.011754, type=FemMarker, attach=pharynx
90, 0.148519, -0.014595, 0.013335, type=FemMarker, attach=pharynx
91, 0.146704, -0.015852, 0.014253, type=FemMarker, attach=pharynx

connections
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13
14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29
30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47
48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63
64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77
78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91

